graph_id,graph_seed,n,mean_degree,max_degree,alpha,pfail,budget_ref,scaled_budget,seed_index,env_seed,policy,final_pr,n_active_final,solved,rounds_when_solved,spread_vs_random,instance_label
2,2026002,46,3.8260869565217392,13,0.05,0.05,1,1,0,202602000,betweenness,0.10633270321361059,15,False,,0.0888468809073724,all_fail
2,2026002,46,3.8260869565217392,13,0.05,0.05,1,1,0,202602000,degree,0.10633270321361059,15,False,,0.0888468809073724,all_fail
2,2026002,46,3.8260869565217392,13,0.05,0.05,1,1,0,202602000,greedy,0.6824196597353497,38,False,,0.6649338374291115,all_fail
2,2026002,46,3.8260869565217392,13,0.05,0.05,1,1,0,202602000,random,0.017485822306238186,15,False,,0.0,all_fail
2,2026002,46,3.8260869565217392,13,0.05,0.05,1,1,0,202602000,risk,0.028827977315689982,15,False,,0.011342155009451797,all_fail
2,2026002,46,3.8260869565217392,13,0.05,0.05,1,1,1,202602001,betweenness,0.07986767485822305,13,False,,0.04347826086956521,all_fail
2,2026002,46,3.8260869565217392,13,0.05,0.05,1,1,1,202602001,degree,0.07986767485822305,13,False,,0.04347826086956521,all_fail
2,2026002,46,3.8260869565217392,13,0.05,0.05,1,1,1,202602001,greedy,0.10633270321361059,15,False,,0.06994328922495274,all_fail
2,2026002,46,3.8260869565217392,13,0.05,0.05,1,1,1,202602001,random,0.03638941398865784,17,False,,0.0,all_fail
2,2026002,46,3.8260869565217392,13,0.05,0.05,1,1,1,202602001,risk,0.029773156899810967,17,False,,-0.006616257088846871,all_fail
2,2026002,46,3.8260869565217392,13,0.05,0.05,1,1,2,202602002,betweenness,0.10633270321361059,15,False,,0.010869565217391297,all_fail
2,2026002,46,3.8260869565217392,13,0.05,0.05,1,1,2,202602002,degree,0.10633270321361059,15,False,,0.010869565217391297,all_fail
2,2026002,46,3.8260869565217392,13,0.05,0.05,1,1,2,202602002,greedy,0.136578449905482,17,False,,0.04111531190926272,all_fail
2,2026002,46,3.8260869565217392,13,0.05,0.05,1,1,2,202602002,random,0.09546313799621929,18,False,,0.0,all_fail
2,2026002,46,3.8260869565217392,13,0.05,0.05,1,1,2,202602002,risk,0.029773156899810967,17,False,,-0.06568998109640832,all_fail
2,2026002,46,3.8260869565217392,13,0.05,0.05,1,1,3,202602003,betweenness,0.06805293005671077,12,False,,0.024102079395085067,all_fail
2,2026002,46,3.8260869565217392,13,0.05,0.05,1,1,3,202602003,degree,0.06805293005671077,12,False,,0.024102079395085067,all_fail
2,2026002,46,3.8260869565217392,13,0.05,0.05,1,1,3,202602003,greedy,0.136578449905482,17,False,,0.0926275992438563,all_fail
2,2026002,46,3.8260869565217392,13,0.05,0.05,1,1,3,202602003,random,0.043950850661625705,17,False,,0.0,all_fail
2,2026002,46,3.8260869565217392,13,0.05,0.05,1,1,3,202602003,risk,0.029300567107750475,16,False,,-0.01465028355387523,all_fail
2,2026002,46,3.8260869565217392,13,0.05,0.05,1,1,4,202602004,betweenness,0.09262759924385634,14,False,,0.050094517958412105,all_fail
2,2026002,46,3.8260869565217392,13,0.05,0.05,1,1,4,202602004,degree,0.09262759924385634,14,False,,0.050094517958412105,all_fail
2,2026002,46,3.8260869565217392,13,0.05,0.05,1,1,4,202602004,greedy,0.10633270321361059,15,False,,0.06379962192816635,all_fail
2,2026002,46,3.8260869565217392,13,0.05,0.05,1,1,4,202602004,random,0.04253308128544424,16,False,,0.0,all_fail
2,2026002,46,3.8260869565217392,13,0.05,0.05,1,1,4,202602004,risk,0.028827977315689982,15,False,,-0.013705103969754256,all_fail
3,2026003,46,3.8260869565217392,13,0.05,0.05,1,1,0,202603000,betweenness,0.10633270321361059,15,False,,0.0893194706994329,all_fail
3,2026003,46,3.8260869565217392,13,0.05,0.05,1,1,0,202603000,degree,0.136578449905482,17,False,,0.11956521739130432,all_fail
3,2026003,46,3.8260869565217392,13,0.05,0.05,1,1,0,202603000,greedy,0.12098298676748581,16,False,,0.10396975425330812,all_fail
3,2026003,46,3.8260869565217392,13,0.05,0.05,1,1,0,202603000,random,0.017013232514177693,16,False,,0.0,all_fail
3,2026003,46,3.8260869565217392,13,0.05,0.05,1,1,0,202603000,risk,0.04867674858223063,17,False,,0.03166351606805294,all_fail
3,2026003,46,3.8260869565217392,13,0.05,0.05,1,1,1,202603001,betweenness,0.09262759924385634,14,False,,-0.029773156899810943,all_fail
3,2026003,46,3.8260869565217392,13,0.05,0.05,1,1,1,202603001,degree,0.12098298676748581,16,False,,-0.0014177693761814741,all_fail
3,2026003,46,3.8260869565217392,13,0.05,0.05,1,1,1,202603001,greedy,0.10633270321361059,15,False,,-0.016068052930056698,all_fail
3,2026003,46,3.8260869565217392,13,0.05,0.05,1,1,1,202603001,random,0.12240075614366729,19,False,,0.0,all_fail
3,2026003,46,3.8260869565217392,13,0.05,0.05,1,1,1,202603001,risk,0.01937618147448015,15,False,,-0.10302457466918713,all_fail
3,2026003,46,3.8260869565217392,13,0.05,0.05,1,1,2,202603002,betweenness,0.12098298676748581,16,False,,0.08931947069943288,all_fail
3,2026003,46,3.8260869565217392,13,0.05,0.05,1,1,2,202603002,degree,0.12098298676748581,16,False,,0.08931947069943288,all_fail
3,2026003,46,3.8260869565217392,13,0.05,0.05,1,1,2,202603002,greedy,0.12098298676748581,16,False,,0.08931947069943288,all_fail
3,2026003,46,3.8260869565217392,13,0.05,0.05,1,1,2,202603002,random,0.031663516068052934,17,False,,0.0,all_fail
3,2026003,46,3.8260869565217392,13,0.05,0.05,1,1,2,202603002,risk,0.01984877126654064,16,False,,-0.011814744801512293,all_fail
3,2026003,46,3.8260869565217392,13,0.05,0.05,1,1,3,202603003,betweenness,0.12098298676748581,16,False,,0.08742911153119093,all_fail
3,2026003,46,3.8260869565217392,13,0.05,0.05,1,1,3,202603003,degree,0.15311909262759926,18,False,,0.11956521739130438,all_fail
3,2026003,46,3.8260869565217392,13,0.05,0.05,1,1,3,202603003,greedy,0.15311909262759926,18,False,,0.11956521739130438,all_fail
3,2026003,46,3.8260869565217392,13,0.05,0.05,1,1,3,202603003,random,0.03355387523629489,15,False,,0.0,all_fail
3,2026003,46,3.8260869565217392,13,0.05,0.05,1,1,3,202603003,risk,0.01890359168241966,14,False,,-0.01465028355387523,all_fail
3,2026003,46,3.8260869565217392,13,0.05,0.05,1,1,4,202603004,betweenness,0.057183364839319475,11,False,,0.04678638941398866,all_fail
3,2026003,46,3.8260869565217392,13,0.05,0.05,1,1,4,202603004,degree,0.04725897920604915,10,False,,0.03686200378071834,all_fail
3,2026003,46,3.8260869565217392,13,0.05,0.05,1,1,4,202603004,greedy,0.12098298676748581,16,False,,0.110586011342155,all_fail
3,2026003,46,3.8260869565217392,13,0.05,0.05,1,1,4,202603004,random,0.010396975425330812,16,False,,0.0,all_fail
3,2026003,46,3.8260869565217392,13,0.05,0.05,1,1,4,202603004,risk,0.12098298676748581,16,False,,0.110586011342155,all_fail
4,2026004,50,3.84,16,0.05,0.05,1,1,0,202604000,betweenness,0.1024,16,False,,0.0588,all_fail
4,2026004,50,3.84,16,0.05,0.05,1,1,0,202604000,degree,0.09,15,False,,0.04639999999999999,all_fail
4,2026004,50,3.84,16,0.05,0.05,1,1,0,202604000,greedy,0.1296,18,False,,0.086,all_fail
4,2026004,50,3.84,16,0.05,0.05,1,1,0,202604000,random,0.04360000000000001,17,False,,0.0,all_fail
4,2026004,50,3.84,16,0.05,0.05,1,1,0,202604000,risk,0.0608,18,False,,0.017199999999999993,all_fail
4,2026004,50,3.84,16,0.05,0.05,1,1,1,202604001,betweenness,0.0576,12,False,,0.028799999999999996,all_fail
4,2026004,50,3.84,16,0.05,0.05,1,1,1,202604001,degree,0.0576,12,False,,0.028799999999999996,all_fail
4,2026004,50,3.84,16,0.05,0.05,1,1,1,202604001,greedy,0.09,15,False,,0.06119999999999999,all_fail
4,2026004,50,3.84,16,0.05,0.05,1,1,1,202604001,random,0.028800000000000003,14,False,,0.0,all_fail
4,2026004,50,3.84,16,0.05,0.05,1,1,1,202604001,risk,0.060399999999999995,17,False,,0.03159999999999999,all_fail
4,2026004,50,3.84,16,0.05,0.05,1,1,2,202604002,betweenness,0.1024,16,False,,0.0816,all_fail
4,2026004,50,3.84,16,0.05,0.05,1,1,2,202604002,degree,0.1024,16,False,,0.0816,all_fail
4,2026004,50,3.84,16,0.05,0.05,1,1,2,202604002,greedy,0.11560000000000002,17,False,,0.09480000000000002,all_fail
4,2026004,50,3.84,16,0.05,0.05,1,1,2,202604002,random,0.0208,16,False,,0.0,all_fail
4,2026004,50,3.84,16,0.05,0.05,1,1,2,202604002,risk,0.013600000000000001,16,False,,-0.007199999999999998,all_fail
4,2026004,50,3.84,16,0.05,0.05,1,1,3,202604003,betweenness,1.0,50,True,1.0,0.0,random_recovers
4,2026004,50,3.84,16,0.05,0.05,1,1,3,202604003,degree,1.0,50,True,1.0,0.0,random_recovers
4,2026004,50,3.84,16,0.05,0.05,1,1,3,202604003,greedy,1.0,50,True,1.0,0.0,random_recovers
4,2026004,50,3.84,16,0.05,0.05,1,1,3,202604003,random,1.0,50,True,1.0,0.0,random_recovers
4,2026004,50,3.84,16,0.05,0.05,1,1,3,202604003,risk,1.0,50,True,1.0,0.0,random_recovers
4,2026004,50,3.84,16,0.05,0.05,1,1,4,202604004,betweenness,1.0,50,True,1.0,0.0,random_recovers
4,2026004,50,3.84,16,0.05,0.05,1,1,4,202604004,degree,1.0,50,True,1.0,0.0,random_recovers
4,2026004,50,3.84,16,0.05,0.05,1,1,4,202604004,greedy,1.0,50,True,1.0,0.0,random_recovers
4,2026004,50,3.84,16,0.05,0.05,1,1,4,202604004,random,1.0,50,True,1.0,0.0,random_recovers
4,2026004,50,3.84,16,0.05,0.05,1,1,4,202604004,risk,1.0,50,True,1.0,0.0,random_recovers
5,2026005,33,3.757575757575758,12,0.05,0.05,1,1,0,202605000,betweenness,0.1799816345270891,14,False,,-0.056932966023875126,all_fail
5,2026005,33,3.757575757575758,12,0.05,0.05,1,1,0,202605000,degree,0.1322314049586777,12,False,,-0.10468319559228653,all_fail
5,2026005,33,3.757575757575758,12,0.05,0.05,1,1,0,202605000,greedy,0.1799816345270891,14,False,,-0.056932966023875126,all_fail
5,2026005,33,3.757575757575758,12,0.05,0.05,1,1,0,202605000,random,0.23691460055096422,18,False,,0.0,all_fail
5,2026005,33,3.757575757575758,12,0.05,0.05,1,1,0,202605000,risk,0.18181818181818185,16,False,,-0.05509641873278237,all_fail
5,2026005,33,3.757575757575758,12,0.05,0.05,1,1,1,202605001,betweenness,0.20661157024793386,15,False,,0.07070707070707069,all_fail
5,2026005,33,3.757575757575758,12,0.05,0.05,1,1,1,202605001,degree,0.23507805325987147,16,False,,0.0991735537190083,all_fail
5,2026005,33,3.757575757575758,12,0.05,0.05,1,1,1,202605001,greedy,0.23507805325987147,16,False,,0.0991735537190083,all_fail
5,2026005,33,3.757575757575758,12,0.05,0.05,1,1,1,202605001,random,0.13590449954086317,16,False,,0.0,all_fail
5,2026005,33,3.757575757575758,12,0.05,0.05,1,1,1,202605001,risk,0.15702479338842976,15,False,,0.021120293847566585,all_fail
5,2026005,33,3.757575757575758,12,0.05,0.05,1,1,2,202605002,betweenness,1.0,33,True,5.0,0.0,random_recovers
5,2026005,33,3.757575757575758,12,0.05,0.05,1,1,2,202605002,degree,1.0,33,True,5.0,0.0,random_recovers
5,2026005,33,3.757575757575758,12,0.05,0.05,1,1,2,202605002,greedy,1.0,33,True,5.0,0.0,random_recovers
5,2026005,33,3.757575757575758,12,0.05,0.05,1,1,2,202605002,random,1.0,33,True,5.0,0.0,random_recovers
5,2026005,33,3.757575757575758,12,0.05,0.05,1,1,2,202605002,risk,0.1147842056932966,15,False,,-0.8852157943067034,random_recovers
5,2026005,33,3.757575757575758,12,0.05,0.05,1,1,3,202605003,betweenness,1.0,33,True,1.0,0.0,random_recovers
5,2026005,33,3.757575757575758,12,0.05,0.05,1,1,3,202605003,degree,1.0,33,True,1.0,0.0,random_recovers
5,2026005,33,3.757575757575758,12,0.05,0.05,1,1,3,202605003,greedy,1.0,33,True,1.0,0.0,random_recovers
5,2026005,33,3.757575757575758,12,0.05,0.05,1,1,3,202605003,random,1.0,33,True,1.0,0.0,random_recovers
5,2026005,33,3.757575757575758,12,0.05,0.05,1,1,3,202605003,risk,1.0,33,True,1.0,0.0,random_recovers
5,2026005,33,3.757575757575758,12,0.05,0.05,1,1,4,202605004,betweenness,0.1322314049586777,12,False,,-0.07529843893480254,all_fail
5,2026005,33,3.757575757575758,12,0.05,0.05,1,1,4,202605004,degree,0.20661157024793386,15,False,,-0.0009182736455463636,all_fail
5,2026005,33,3.757575757575758,12,0.05,0.05,1,1,4,202605004,greedy,0.20661157024793386,15,False,,-0.0009182736455463636,all_fail
5,2026005,33,3.757575757575758,12,0.05,0.05,1,1,4,202605004,random,0.20752984389348023,16,False,,0.0,all_fail
5,2026005,33,3.757575757575758,12,0.05,0.05,1,1,4,202605004,risk,0.15702479338842976,15,False,,-0.05050505050505047,all_fail
6,2026006,37,3.7837837837837838,12,0.05,0.05,1,1,0,202606000,betweenness,0.12344777209642076,13,False,,0.085463842220599,all_fail
6,2026006,37,3.7837837837837838,12,0.05,0.05,1,1,0,202606000,degree,0.2636961285609934,19,False,,0.22571219868517162,all_fail
6,2026006,37,3.7837837837837838,12,0.05,0.05,1,1,0,202606000,greedy,0.18699780861943027,16,False,,0.1490138787436085,all_fail
6,2026006,37,3.7837837837837838,12,0.05,0.05,1,1,0,202606000,random,0.03798392987582177,16,False,,0.0,all_fail
6,2026006,37,3.7837837837837838,12,0.05,0.05,1,1,0,202606000,risk,0.09276844411979548,15,False,,0.054784514243973716,all_fail
6,2026006,37,3.7837837837837838,12,0.05,0.05,1,1,1,202606001,betweenness,1.0,37,True,0.0,0.0,random_recovers
6,2026006,37,3.7837837837837838,12,0.05,0.05,1,1,1,202606001,degree,1.0,37,True,0.0,0.0,random_recovers
6,2026006,37,3.7837837837837838,12,0.05,0.05,1,1,1,202606001,greedy,1.0,37,True,0.0,0.0,random_recovers
6,2026006,37,3.7837837837837838,12,0.05,0.05,1,1,1,202606001,random,1.0,37,True,0.0,0.0,random_recovers
6,2026006,37,3.7837837837837838,12,0.05,0.05,1,1,1,202606001,risk,1.0,37,True,0.0,0.0,random_recovers
6,2026006,37,3.7837837837837838,12,0.05,0.05,1,1,2,202606002,betweenness,1.0,37,True,0.0,0.0,random_recovers
6,2026006,37,3.7837837837837838,12,0.05,0.05,1,1,2,202606002,degree,1.0,37,True,0.0,0.0,random_recovers
6,2026006,37,3.7837837837837838,12,0.05,0.05,1,1,2,202606002,greedy,1.0,37,True,0.0,0.0,random_recovers
