graph_id,graph_seed,n,mean_degree,max_degree,alpha,pfail,budget_ref,scaled_budget,seed_index,env_seed,policy,n_failed_at_start,pr_post_cascade,feasibility_ratio,final_pr,n_active_final,solved,spread_vs_random,instance_label
1,2026001,40,3.8,17,0.05,0.05,1,1,5,202601005,degree,40,0.0,8.0,0.0,0,False,-0.0006250000000000001,hopeless
1,2026001,40,3.8,17,0.05,0.05,1,1,5,202601005,random,40,0.0,8.0,0.0006250000000000001,1,False,0.0,hopeless
1,2026001,40,3.8,17,0.05,0.05,1,1,6,202601006,betweenness,40,0.0,8.0,1.0,40,True,0.0,trivial
1,2026001,40,3.8,17,0.05,0.05,1,1,6,202601006,degree,40,0.0,8.0,1.0,40,True,0.0,trivial
1,2026001,40,3.8,17,0.05,0.05,1,1,6,202601006,random,40,0.0,8.0,1.0,40,True,0.0,trivial
1,2026001,40,3.8,17,0.05,0.05,1,1,7,202601007,betweenness,40,0.0,8.0,1.0,40,True,0.0,trivial
1,2026001,40,3.8,17,0.05,0.05,1,1,7,202601007,degree,40,0.0,8.0,1.0,40,True,0.0,trivial
1,2026001,40,3.8,17,0.05,0.05,1,1,7,202601007,random,40,0.0,8.0,1.0,40,True,0.0,trivial
1,2026001,40,3.8,17,0.05,0.05,1,1,8,202601008,betweenness,40,0.0,8.0,0.0006250000000000001,1,False,-0.0012500000000000002,hopeless
1,2026001,40,3.8,17,0.05,0.05,1,1,8,202601008,degree,40,0.0,8.0,0.0006250000000000001,1,False,-0.0012500000000000002,hopeless
1,2026001,40,3.8,17,0.05,0.05,1,1,8,202601008,random,40,0.0,8.0,0.0018750000000000004,3,False,0.0,hopeless
1,2026001,40,3.8,17,0.05,0.05,1,1,9,202601009,betweenness,40,0.0,8.0,1.0,40,True,0.0,trivial
1,2026001,40,3.8,17,0.05,0.05,1,1,9,202601009,degree,40,0.0,8.0,1.0,40,True,0.0,trivial
1,2026001,40,3.8,17,0.05,0.05,1,1,9,202601009,random,40,0.0,8.0,1.0,40,True,0.0,trivial
2,2026002,46,3.8260869565217392,13,0.05,0.05,1,1,0,202602000,betweenness,46,0.0,9.2,0.39744801512287337,29,False,0.39697542533081287,decision_sensitive
