alpha,pfail,budget,regime_label,interestingness_score,final_anc_spread,threshold_hit_spread,rounds_spread,mean_final_anc,mean_threshold_hit,budget_sensitivity,best_policy,worst_policy,best_heuristic,best_heuristic_final_anc,rl_vs_best_heuristic_gap,random_final_anc_mean,random_final_anc_stderr,random_threshold_hit_mean,random_rounds_mean,degree_final_anc_mean,degree_final_anc_stderr,degree_threshold_hit_mean,degree_rounds_mean,risk_final_anc_mean,risk_final_anc_stderr,risk_threshold_hit_mean,risk_rounds_mean,greedy_final_anc_mean,greedy_final_anc_stderr,greedy_threshold_hit_mean,greedy_rounds_mean,betweenness_final_anc_mean,betweenness_final_anc_stderr,betweenness_threshold_hit_mean,betweenness_rounds_mean
0.2,0.02,1,trivial,0.0,0.0,0.0,0.0,1.0,1.0,0.0,random,random,random,1.0,,1.0,0.0,1.0,0.7777777777777778,1.0,0.0,1.0,0.7777777777777778,1.0,0.0,1.0,0.7777777777777778,1.0,0.0,1.0,0.7777777777777778,1.0,0.0,1.0,0.7777777777777778
0.2,0.02,2,trivial,0.0,0.0,0.0,0.0,1.0,1.0,0.0,random,random,random,1.0,,1.0,0.0,1.0,0.5555555555555556,1.0,0.0,1.0,0.5555555555555556,1.0,0.0,1.0,0.5555555555555556,1.0,0.0,1.0,0.5555555555555556,1.0,0.0,1.0,0.5555555555555556
0.2,0.02,3,trivial,0.0,0.0,0.0,0.0,1.0,1.0,0.0,random,random,random,1.0,,1.0,0.0,1.0,0.5555555555555556,1.0,0.0,1.0,0.5555555555555556,1.0,0.0,1.0,0.5555555555555556,1.0,0.0,1.0,0.5555555555555556,1.0,0.0,1.0,0.5555555555555556
0.2,0.02,4,trivial,0.0,0.0,0.0,0.0,1.0,1.0,0.0,random,random,random,1.0,,1.0,0.0,1.0,0.5555555555555556,1.0,0.0,1.0,0.5555555555555556,1.0,0.0,1.0,0.5555555555555556,1.0,0.0,1.0,0.5555555555555556,1.0,0.0,1.0,0.5555555555555556
0.2,0.05,1,decision-sensitive,0.25620126600317394,0.11656660551563602,0.05555555555555547,0.16666666666666696,0.7374856166800885,0.8666666666666668,0.21587489261257276,degree,random,degree,0.7841251073874272,,0.6675585018717912,0.1108141493801776,0.8333333333333334,2.7222222222222223,0.7841251073874272,0.09356613031098023,0.8888888888888888,2.611111111111111,0.6751876918444454,0.10853910219045595,0.8333333333333334,2.6666666666666665,0.7840858140005138,0.09337256673664199,0.8888888888888888,2.5555555555555554,0.7764709682962654,0.09669139677417088,0.8888888888888888,2.5555555555555554
0.2,0.05,2,trivial,0.1748163748529559,0.16593445856736444,0.11111111111111116,0.33333333333333326,0.9410891604203406,0.9444444444444444,0.21587489261257276,degree,random,degree,1.0,,0.8340655414326356,0.08745554328629315,0.8888888888888888,1.7222222222222223,1.0,0.0,1.0,1.4444444444444444,0.8922023266506799,0.07188435633990135,0.8888888888888888,1.6111111111111112,1.0,0.0,1.0,1.4444444444444444,0.9791779340183883,0.020235410848345424,0.9444444444444444,1.7777777777777777
0.2,0.05,3,trivial,0.10918453198614927,0.11021885253759056,0.05555555555555558,0.2777777777777779,0.9772509456446382,0.9888888888888889,0.21587489261257276,degree,random,degree,1.0,,0.8897811474624094,0.07347986346039588,0.9444444444444444,1.2222222222222223,1.0,0.0,1.0,0.9444444444444444,0.9964735807607816,0.0034270634908232433,1.0,1.1111111111111112,1.0,0.0,1.0,0.9444444444444444,1.0,0.0,1.0,0.9444444444444444
0.2,0.05,4,trivial,0.05274544909714746,0.022256908313099788,0.0,0.16666666666666674,0.9955486183373801,1.0,0.21587489261257276,degree,random,degree,1.0,,0.9777430916869002,0.021629826950277885,1.0,1.0555555555555556,1.0,0.0,1.0,0.8888888888888888,1.0,0.0,1.0,0.9444444444444444,1.0,0.0,1.0,0.8888888888888888,1.0,0.0,1.0,0.8888888888888888
0.2,0.08,1,decision-sensitive,0.46312890645371513,0.2829547340964399,0.2222222222222222,0.22222222222222232,0.6479004381432631,0.6888888888888889,0.2162746238863319,greedy,random,greedy,0.7837253761136681,,0.5007706420172282,0.11766965174272577,0.5555555555555556,3.3333333333333335,0.7279401646067951,0.10191447607776745,0.7777777777777778,3.2222222222222223,0.5076513243294648,0.11623433823244325,0.5555555555555556,3.2777777777777777,0.7837253761136681,0.09360181602721532,0.7777777777777778,3.111111111111111,0.7194146836491588,0.10489253873074406,0.7777777777777778,3.1666666666666665
0.2,0.08,2,decision-sensitive,0.2616970789427424,0.33178902499028073,0.11111111111111116,0.6111111111111112,0.8692100114528056,0.9444444444444444,0.2162746238863319,degree,random,degree,1.0,,0.6682109750097193,0.11059669916508906,0.8888888888888888,2.611111111111111,1.0,0.0,1.0,2.0,0.730660427125411,0.10240380384799248,0.8888888888888888,2.5555555555555554,0.9680007211105102,0.031097709312392308,1.0,2.0,0.9791779340183883,0.020235410848345424,0.9444444444444444,2.1666666666666665
